Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
"16-Aug-2024","EQ","15.96","16.00","15.67","15.79","15.88","15.88","15.85","19.18","7.50","29,19,22,661","4,62,83,82,738.97","1,99,181"
"14-Aug-2024","EQ","15.63","16.02","15.48","15.47","15.83","15.79","15.79","19.18","7.50","39,20,47,253","6,19,06,98,643.10","1,86,439"
"13-Aug-2024","EQ","16.19","16.19","15.42","16.01","15.47","15.47","15.67","19.18","7.50","53,83,87,007","8,43,73,76,305.18","2,48,899"
"12-Aug-2024","EQ","16.12","16.22","15.82","16.10","16.02","16.01","16.06","19.18","7.50","29,08,10,714","4,66,91,91,676.65","2,29,784"
"09-Aug-2024","EQ","16.30","16.35","16.01","15.86","16.12","16.10","16.17","19.18","7.50","27,64,15,001","4,46,83,67,799.98","2,06,329"
"08-Aug-2024","EQ","15.75","16.25","15.57","15.72","15.91","15.86","15.99","19.18","7.50","34,67,46,624","5,54,29,88,225.55","2,98,932"
"07-Aug-2024","EQ","15.60","15.78","15.37","15.17","15.74","15.72","15.62","19.18","7.50","27,11,37,134","4,23,54,85,532.91","2,58,636"
"06-Aug-2024","EQ","15.70","15.83","15.11","15.36","15.21","15.17","15.53","19.18","7.50","32,75,83,325","5,08,58,00,921.23","2,12,442"
"05-Aug-2024","EQ","15.61","15.81","15.05","16.12","15.33","15.36","15.39","19.18","7.50","60,86,55,754","9,36,44,12,396.08","3,52,816"
"02-Aug-2024","EQ","15.80","16.42","15.75","15.99","16.08","16.12","16.17","19.18","7.50","47,52,79,605","7,68,69,83,447.92","2,03,449"
"01-Aug-2024","EQ","16.36","16.37","15.87","16.27","15.97","15.99","16.04","19.18","7.50","36,23,95,270","5,81,21,21,876.71","2,79,812"
"31-Jul-2024","EQ","16.31","16.52","16.22","16.21","16.27","16.27","16.37","19.18","7.50","34,62,65,142","5,66,87,85,118.14","2,25,519"
"30-Jul-2024","EQ","16.03","16.28","15.99","16.05","16.28","16.21","16.18","19.18","7.50","24,23,96,205","3,92,10,37,005.89","1,91,103"
"29-Jul-2024","EQ","16.00","16.42","15.93","15.98","16.04","16.05","16.14","19.18","7.50","50,59,26,060","8,16,35,32,946.66","2,54,319"
"26-Jul-2024","EQ","15.42","16.14","15.40","15.18","15.98","15.98","15.87","19.18","7.50","74,66,10,397","11,84,49,86,926.43","2,55,974"
"25-Jul-2024","EQ","15.30","15.42","15.03","15.58","15.27","15.18","15.18","19.18","7.50","70,23,08,285","10,66,28,66,544.00","2,69,335"
"24-Jul-2024","EQ","15.30","15.66","15.21","15.28","15.63","15.58","15.50","19.18","7.50","45,34,49,137","7,02,75,45,581.90","2,30,812"
"23-Jul-2024","EQ","15.90","15.91","14.57","15.89","15.34","15.28","15.24","19.18","7.50","1,12,74,13,061","17,17,85,70,529.49","5,61,884"
"22-Jul-2024","EQ","15.77","16.05","15.65","15.87","15.92","15.89","15.92","19.18","7.50","52,90,18,766","8,42,20,02,922.49","2,84,076"
"19-Jul-2024","EQ","16.37","16.43","15.82","16.27","15.87","15.87","16.05","19.18","7.35","36,88,82,386","5,92,18,56,969.99","2,56,547"
"18-Jul-2024","EQ","16.69","16.69","15.91","16.80","16.32","16.27","16.25","19.18","7.35","67,92,46,298","11,03,51,94,221.67","3,73,728"
"16-Jul-2024","EQ","17.54","17.67","16.67","16.68","16.70","16.80","17.08","19.18","7.35","96,44,58,628","16,46,83,82,202.80","3,40,658"
"15-Jul-2024","EQ","16.10","16.73","15.78","16.09","16.69","16.68","16.34","19.18","7.35","54,46,64,305","8,89,98,88,128.19","3,76,009"
"12-Jul-2024","EQ","16.76","16.83","16.00","16.56","16.11","16.09","16.27","19.18","7.15","63,07,43,126","10,26,30,51,392.09","3,92,694"
"11-Jul-2024","EQ","16.76","16.84","16.52","16.64","16.62","16.56","16.64","19.18","7.15","34,63,69,340","5,76,26,86,415.72","2,17,184"
"10-Jul-2024","EQ","16.97","17.28","16.47","16.85","16.67","16.64","16.80","19.18","7.15","46,64,78,026","7,83,63,17,297.38","2,59,526"
"09-Jul-2024","EQ","16.61","17.03","16.56","16.56","16.81","16.85","16.78","19.18","7.15","50,12,90,567","8,41,20,59,903.97","2,96,579"
"08-Jul-2024","EQ","17.10","17.23","16.50","17.09","16.61","16.56","16.84","19.18","7.15","54,12,64,689","9,11,70,63,577.65","4,26,862"
"05-Jul-2024","EQ","17.44","17.48","17.01","17.48","17.15","17.09","17.26","19.18","7.15","49,23,72,970","8,49,81,41,115.75","3,03,665"
"04-Jul-2024","EQ","17.51","17.74","17.28","17.47","17.44","17.48","17.51","19.18","7.15","64,46,74,371","11,28,79,55,221.75","3,67,785"
"03-Jul-2024","EQ","17.10","17.67","16.91","17.02","17.42","17.47","17.41","19.18","7.15","86,08,49,573","14,98,48,82,168.97","3,66,919"
"02-Jul-2024","EQ","17.70","17.75","16.96","17.62","17.05","17.02","17.30","19.18","7.15","82,67,92,635","14,30,09,09,578.77","4,00,340"
"01-Jul-2024","EQ","17.79","18.06","17.40","17.89","17.65","17.62","17.74","19.18","7.15","87,79,84,912","15,57,38,95,557.75","4,71,715"
"28-Jun-2024","EQ","19.10","19.18","17.55","18.52","17.90","17.89","18.16","19.18","7.15","2,01,46,35,073","36,59,48,45,911.69","7,76,175"
"27-Jun-2024","EQ","18.25","18.70","18.00","18.02","18.70","18.52","18.27","18.70","7.15","1,52,31,08,632","27,82,61,55,001.06","5,59,634"
"26-Jun-2024","EQ","17.24","18.47","17.22","17.19","18.04","18.02","17.81","18.47","7.15","1,52,00,73,392","27,07,69,57,409.19","5,64,143"
"25-Jun-2024","EQ","17.45","17.50","17.15","17.26","17.22","17.19","17.31","18.40","7.15","66,43,34,923","11,49,68,82,778.60","2,88,289"
"24-Jun-2024","EQ","16.99","17.34","16.86","17.14","17.28","17.26","17.14","18.40","7.15","94,64,46,301","16,22,42,04,078.95","4,19,558"
"21-Jun-2024","EQ","16.61","17.28","16.54","16.53","17.10","17.14","17.11","18.40","7.15","1,75,49,64,021","30,02,70,21,209.26","4,13,541"
"20-Jun-2024","EQ","16.97","16.97","16.45","16.92","16.57","16.53","16.63","18.40","7.15","74,54,16,817","12,39,54,68,703.60","3,47,037"
"19-Jun-2024","EQ","17.00","17.39","16.36","16.85","16.90","16.92","16.91","18.40","7.15","1,56,45,73,800","26,45,35,72,414.68","5,77,889"
"18-Jun-2024","EQ","16.99","17.03","16.48","16.73","16.87","16.85","16.76","18.40","7.15","80,43,38,492","13,48,06,85,455.47","3,78,668"
"14-Jun-2024","EQ","16.30","16.85","16.06","16.07","16.79","16.73","16.41","18.40","7.15","1,10,07,49,585","18,05,78,37,057.99","4,17,854"
"13-Jun-2024","EQ","16.73","16.74","16.00","16.43","16.08","16.07","16.36","18.40","7.15","73,19,87,121","11,97,32,77,042.18","4,36,790"
"12-Jun-2024","EQ","16.30","16.70","16.24","16.19","16.45","16.43","16.44","18.40","7.15","1,04,10,28,161","17,11,63,86,119.98","4,19,096"
"11-Jun-2024","EQ","15.95","16.32","15.61","15.81","16.28","16.19","16.01","18.40","7.15","1,16,83,13,898","18,70,81,22,792.54","4,02,620"
"10-Jun-2024","EQ","15.96","16.35","15.76","15.85","15.81","15.81","16.01","18.40","7.15","1,08,87,31,795","17,43,44,26,667.83","3,76,023"
"07-Jun-2024","EQ","15.05","16.05","14.90","15.00","15.80","15.85","15.64","18.40","7.00","1,25,14,04,862","19,57,32,09,675.15","3,18,298"
"06-Jun-2024","EQ","15.15","15.40","14.85","14.85","15.05","15.00","15.08","18.40","7.00","85,32,75,763","12,86,59,98,399.65","2,57,303"
"05-Jun-2024","EQ","13.65","15.05","13.30","13.20","14.95","14.85","14.28","18.40","7.00","1,57,52,94,073","22,48,75,21,700.70","4,44,471"
"04-Jun-2024","EQ","15.70","15.70","12.05","16.00","13.30","13.20","13.95","18.40","7.00","3,01,00,28,341","41,98,02,17,951.95","7,39,073"
"03-Jun-2024","EQ","16.40","16.40","15.65","15.25","16.05","16.00","15.94","18.40","7.00","1,33,46,49,435","21,27,65,59,767.80","3,74,855"
"31-May-2024","EQ","14.75","15.45","14.65","14.60","15.30","15.25","15.05","18.40","6.95","1,91,33,85,085","28,79,11,60,761.50","2,80,103"
"30-May-2024","EQ","14.85","15.05","14.50","14.80","14.60","14.60","14.78","18.40","6.95","1,09,52,71,744","16,18,85,51,889.35","2,05,598"
"29-May-2024","EQ","14.45","14.90","14.40","14.55","14.85","14.80","14.71","18.40","6.95","59,29,22,488","8,72,26,13,823.15","1,76,144"
"28-May-2024","EQ","15.05","15.10","14.50","15.05","14.55","14.55","14.67","18.40","6.95","66,87,78,744","9,81,22,95,138.25","2,19,616"
"27-May-2024","EQ","15.20","15.45","14.90","15.10","15.00","15.05","15.13","18.40","6.95","96,32,34,521","14,57,75,57,796.05","2,97,574"
"24-May-2024","EQ","14.25","15.70","14.20","14.05","15.10","15.10","15.05","18.40","6.85","3,04,85,78,949","45,89,12,40,847.05","5,96,865"
"23-May-2024","EQ","13.50","14.10","13.45","13.50","14.05","14.05","13.94","18.40","6.85","97,56,84,695","13,60,24,82,976.80","2,69,636"
"22-May-2024","EQ","13.65","13.80","13.45","13.55","13.50","13.50","13.61","18.40","6.85","36,32,22,831","4,94,41,12,716.30","1,40,783"
"21-May-2024","EQ","13.55","13.75","13.35","13.30","13.60","13.55","13.59","18.40","6.85","65,21,79,474","8,86,03,16,729.10","2,24,035"
